emp_no,first_name,last_name,gender,birth_date,hire_date
10137,Saanvi,Garcia,M,1980-07-19,2016-10-10
10138,Michael,Mehta,M,1990-05-01,2023-11-25
10139,William,Verma,F,1983-04-20,2016-04-21
10140,Reyansh,Anderson,F,1973-11-04,2006-05-26
10141,Kiara,Verma,F,1973-02-10,2015-12-14
10142,Sai,Patel,M,1988-09-17,2013-03-09
10143,Elizabeth,Garcia,F,1986-02-15,2007-03-25
10144,Krishna,Williams,F,1970-07-01,2013-09-04
10145,Kiara,Johnson,F,1989-11-12,2008-11-08
10146,Myra,Sharma,F,1979-11-03,2019-12-10
10147,James,Brown,M,1973-01-02,2014-08-04
10148,Vihaan,Singh,M,1989-08-12,2022-07-19
10149,William,Iyer,F,1971-08-20,2018-05-02
10150,Michael,Johnson,M,1993-08-08,2016-02-22
